DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2023;32;REDE MT SUMTERRANEA               ;0.034178;0.219382;0.25356
31/12/2024;32;REDE MT SUMTERRANEA               ;0.143398;1.785246;1.928644
31/12/2020;369;REDE MT SUMTERRANEA               ;0.964354;0.03698;1.001334
31/12/2021;369;REDE MT SUMTERRANEA               ;0.964354;0.03698;1.001334
31/12/2022;369;REDE MT SUMTERRANEA               ;0.940217;;0.940217
31/12/2023;369;REDE MT SUMTERRANEA               ;0.940217;;0.940217
31/12/2024;369;REDE MT SUMTERRANEA               ;1.033715;;1.033715
31/12/2020;404;REDE MT SUMTERRANEA               ;636.514785;11.242429;647.757214
31/12/2021;404;REDE MT SUMTERRANEA               ;10.509456;5.808976;16.318432
31/12/2022;404;REDE MT SUMTERRANEA               ;10.701279;6.139238;16.840517
31/12/2023;404;REDE MT SUMTERRANEA               ;19.323185;6.961314;26.284499
31/12/2024;404;REDE MT SUMTERRANEA               ;16.842307;8.982835;25.825142
31/12/2023;405;REDE MT SUMTERRANEA               ;0.913631;4.362487;5.276118
31/12/2024;405;REDE MT SUMTERRANEA               ;1.054641;4.359865;5.414506
31/12/2020;5216;REDE MT SUMTERRANEA               ;28.759832;1.843715;30.603547
31/12/2021;5216;REDE MT SUMTERRANEA               ;29.050238;2.832765;31.883003
31/12/2022;5216;REDE MT SUMTERRANEA               ;29.071611;2.286711;31.358322
31/12/2023;5216;REDE MT SUMTERRANEA               ;30.409755;2.883501;33.293256
31/12/2024;5216;REDE MT SUMTERRANEA               ;34.048394;3.274519;37.322913
31/12/2024;6585;REDE MT SUMTERRANEA               ;2.460517;0.419278;2.879795
31/12/2020;6587;REDE MT SUMTERRANEA               ;0.275606;;0.275606
31/12/2021;6587;REDE MT SUMTERRANEA               ;0.396242;0.11409;0.510332
31/12/2022;6587;REDE MT SUMTERRANEA               ;2.241831;0.098197;2.340028
31/12/2023;6587;REDE MT SUMTERRANEA               ;4.376765;0.140015;4.51678
31/12/2024;6587;REDE MT SUMTERRANEA               ;15.367598;0.264587;15.632185
31/12/2020;6600;REDE MT SUMTERRANEA               ;0.213749;0.505075;0.718824
31/12/2021;6600;REDE MT SUMTERRANEA               ;0.704253;0.227898;0.932151
31/12/2022;6600;REDE MT SUMTERRANEA               ;0.704253;0.227898;0.932151
31/12/2023;6600;REDE MT SUMTERRANEA               ;0.727147;0.227898;0.955045
31/12/2024;6600;REDE MT SUMTERRANEA               ;4.595408;0.253897;4.849305
31/12/2020;6611;REDE MT SUMTERRANEA               ;0.179513;;0.179513
31/12/2021;6611;REDE MT SUMTERRANEA               ;0.179513;;0.179513
31/12/2022;6611;REDE MT SUMTERRANEA               ;0.202407;;0.202407
31/12/2020;26;REDE AT                           ;441.945969;;441.945969
31/12/2021;26;REDE AT                           ;643.578888;;643.578888
31/12/2022;26;REDE AT                           ;643.630065;;643.630065
31/12/2023;26;REDE AT                           ;790.313764;;790.313764
31/12/2024;26;REDE AT                           ;821.314689;;821.314689
31/12/2020;32;REDE AT                           ;2825.762694;;2825.762694
31/12/2021;32;REDE AT                           ;2829.623787;;2829.623787
31/12/2022;32;REDE AT                           ;2938.395993;;2938.395993
31/12/2023;32;REDE AT                           ;2924.659518;;2924.659518
31/12/2024;32;REDE AT                           ;2997.420368;;2997.420368
31/12/2020;369;REDE AT                           ;971.671285;;971.671285
31/12/2021;369;REDE AT                           ;1640.25625;5.139359;1645.395609
31/12/2022;369;REDE AT                           ;1855.66193;55.989809;1911.651739
31/12/2023;369;REDE AT                           ;1943.337226;129.564985;2072.902211
31/12/2024;369;REDE AT                           ;1943.401281;129.565165;2072.966446
31/12/2020;404;REDE AT                           ;4060.03786;0.666919;4060.704779
31/12/2021;404;REDE AT                           ;4053.48716;0.696734;4054.183894
31/12/2022;404;REDE AT                           ;4186.320674;1.610129;4187.930803
31/12/2023;404;REDE AT                           ;4216.726683;47.477175;4264.203858
31/12/2024;404;REDE AT                           ;4173.339422;256.624528;4429.96395
31/12/2020;405;REDE AT                           ;6669.967423;273.213854;6943.181277
31/12/2021;405;REDE AT                           ;6743.601338;285.481572;7029.08291
31/12/2022;405;REDE AT                           ;6950.094807;285.701391;7235.796198
31/12/2023;405;REDE AT                           ;6954.934603;316.025964;7270.960567
31/12/2024;405;REDE AT                           ;6989.787545;283.651045;7273.43859
31/12/2020;5216;REDE AT                           ;587.953347;132.482699;720.436046
31/12/2021;5216;REDE AT                           ;587.860915;132.482699;720.343614
31/12/2022;5216;REDE AT                           ;587.897408;132.521278;720.418686
31/12/2023;5216;REDE AT                           ;587.690743;133.71278;721.403523
